entry_time,exit_time,side,entry,stop,target,R
2018-04-24 11:00:00+00:00,2018-04-24 11:00:00+00:00,SHORT,1327.135,1327.9329285714286,1325.5391428571427,2.0
2018-10-18 17:15:00+00:00,2018-10-18 18:00:00+00:00,SHORT,1225.2350000000001,1226.1479285714286,1223.4091428571433,-1.0
2018-11-02 09:15:00+00:00,2018-11-02 09:15:00+00:00,LONG,1231.76,1231.4617857142857,1232.3564285714285,2.0
2018-11-08 16:30:00+00:00,2018-11-08 16:30:00+00:00,SHORT,1224.98,1225.56,1223.8200000000002,2.0
2018-12-24 10:45:00+00:00,2018-12-24 10:45:00+00:00,LONG,1262.9850000000001,1262.4542857142858,1264.0464285714288,-1.0
2019-02-11 04:15:00+00:00,2019-02-11 04:45:00+00:00,LONG,1313.1599999999999,1312.7776428571428,1313.924714285714,-1.0
2019-05-27 02:00:00+00:00,2019-05-27 02:15:00+00:00,LONG,1284.7399999999998,1284.5737142857142,1285.0725714285709,-1.0
2019-06-13 04:15:00+00:00,2019-06-13 04:15:00+00:00,LONG,1332.8899999999999,1332.716,1333.2379999999998,-1.0
2019-08-29 10:45:00+00:00,2019-08-29 10:45:00+00:00,LONG,1541.995,1541.4092857142857,1543.1664285714282,-1.0
2019-09-09 01:45:00+00:00,2019-09-09 02:30:00+00:00,SHORT,1506.67,1507.4772857142857,1505.0554285714288,-1.0
2019-09-19 11:00:00+00:00,2019-09-19 11:00:00+00:00,SHORT,1496.1100000000001,1496.9244285714285,1494.4811428571434,-1.0
2019-10-03 09:45:00+00:00,2019-10-03 09:45:00+00:00,LONG,1498.45,1497.8102857142858,1499.7294285714286,-1.0
2019-11-08 08:00:00+00:00,2019-11-08 08:00:00+00:00,SHORT,1469.095,1469.5829285714285,1468.119142857143,-1.0
2019-11-19 09:45:00+00:00,2019-11-19 09:45:00+00:00,LONG,1469.74,1469.4294285714286,1470.3611428571428,-1.0
2019-11-21 15:30:00+00:00,2019-11-21 15:30:00+00:00,SHORT,1470.08,1470.923857142857,1468.3922857142857,-1.0
2019-11-25 16:45:00+00:00,2019-11-25 16:45:00+00:00,SHORT,1457.6,1458.1753571428571,1456.4492857142855,-1.0
2019-12-11 21:30:00+00:00,2019-12-11 21:30:00+00:00,LONG,1470.125,1469.6047857142858,1471.1654285714285,2.0
2019-12-12 16:30:00+00:00,2019-12-12 16:30:00+00:00,LONG,1475.18,1474.6109285714285,1476.3181428571431,-1.0
2020-02-07 18:15:00+00:00,2020-02-07 18:45:00+00:00,LONG,1565.24,1563.9955714285716,1567.728857142857,2.0
2020-02-10 09:30:00+00:00,2020-02-10 09:30:00+00:00,LONG,1570.475,1569.7359285714285,1571.9531428571427,2.0
2020-03-30 01:00:00+00:00,2020-03-30 01:00:00+00:00,LONG,1619.595,1617.9223571428572,1622.9402857142857,2.0
2020-04-13 01:15:00+00:00,2020-04-13 01:15:00+00:00,LONG,1683.28,1680.6132857142857,1688.6134285714286,-1.0
2020-05-12 05:45:00+00:00,2020-05-12 05:45:00+00:00,SHORT,1698.465,1698.9895714285713,1697.4158571428572,-1.0
2020-07-03 03:15:00+00:00,2020-07-03 03:15:00+00:00,LONG,1775.1,1774.3148571428571,1776.6702857142855,-1.0
2020-07-09 02:30:00+00:00,2020-07-09 02:45:00+00:00,LONG,1808.6399999999999,1808.0345714285716,1809.8508571428565,-1.0
2020-07-29 22:00:00+00:00,2020-07-29 22:00:00+00:00,LONG,1960.1100000000001,1958.75,1962.8300000000004,-1.0
2020-08-04 06:45:00+00:00,2020-08-04 06:45:00+00:00,LONG,1973.48,1972.446642857143,1975.5467142857142,2.0
2020-10-19 04:15:00+00:00,2020-10-19 04:30:00+00:00,SHORT,1900.095,1901.4142857142858,1897.4564285714284,-1.0
2021-03-16 05:00:00+00:00,2021-03-16 06:15:00+00:00,LONG,1730.985,1729.9787857142856,1732.9974285714286,2.0
2021-04-12 12:15:00+00:00,2021-04-12 12:15:00+00:00,SHORT,1741.29,1742.1147142857144,1739.640571428571,2.0
